TRAWL,WATERWAY,DATE,MONTH,YEAR,SEASON,RAINFALL 48,Organic mass (g),Microplastic mass (g),TOTALMASS,PC.Microplastics,CATEGORY,SUBCATEGORY,MICROPLASTIC,COUNT
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,2
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Plastic Straws,Plastic Straws,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Soft Plastics,Cellophane,Microplastics,
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Soft Plastics,Cellophane,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Other,Sponge,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Other,Twine,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Other,Cigarette butts,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Other,Other,Not considered microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,87
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,29
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,3
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Nurdles,Nurdles,Microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Polystyrene,Polystyrene <4mm,Microplastics,2
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Plastic Straws,Plastic Straws,Not considered microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,15
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Soft Plastics,Cellophane,Microplastics,
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Soft Plastics,Cellophane,Not considered microplastics,1
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Other,Sponge,Not considered microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Other,Twine,Not considered microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Other,Cigarette butts,Not considered microplastics,0
3,Maribyrnong,8/4/2015,Apr,2015,Autumn,0,,0.349,,,Other,Other,Not considered microplastics,0
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,25
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,10
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,2
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,1
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Nurdles,Nurdles,Microplastics,0
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Polystyrene,Polystyrene <4mm,Microplastics,4
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,0
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Plastic Straws,Plastic Straws,Not considered microplastics,0
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,7
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,0
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Soft Plastics,Cellophane,Microplastics,
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Soft Plastics,Cellophane,Not considered microplastics,0
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Other,Sponge,Not considered microplastics,0
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Other,Twine,Not considered microplastics,2
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Other,Cigarette butts,Not considered microplastics,0
3,Yarra,8/4/2015,Apr,2015,Autumn,0,,0.354,,,Other,Other,Not considered microplastics,2
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,44
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,8
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,1
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,2
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Nurdles,Nurdles,Microplastics,0
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Polystyrene,Polystyrene <4mm,Microplastics,3
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,0
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Plastic Straws,Plastic Straws,Not considered microplastics,1
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,0
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,0
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Soft Plastics,Cellophane,Microplastics,
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Soft Plastics,Cellophane,Not considered microplastics,0
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Other,Sponge,Not considered microplastics,0
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Other,Twine,Not considered microplastics,0
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Other,Cigarette butts,Not considered microplastics,0
4,Maribyrnong,5/6/2015,Jun,2015,Winter,0.6,,0.027,,,Other,Other,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,37
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,4
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Nurdles,Nurdles,Microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Polystyrene,Polystyrene <4mm,Microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Plastic Straws,Plastic Straws,Not considered microplastics,7
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,8
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Soft Plastics,Cellophane,Microplastics,
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Soft Plastics,Cellophane,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Other,Sponge,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Other,Twine,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Other,Cigarette butts,Not considered microplastics,0
4,Yarra,5/6/2015,Jun,2015,Winter,2,,0.342,,,Other,Other,Not considered microplastics,0
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,44
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,23
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,1
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,3
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Nurdles,Nurdles,Microplastics,10
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Polystyrene,Polystyrene <4mm,Microplastics,22
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,8
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Plastic Straws,Plastic Straws,Not considered microplastics,0
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,15
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,4
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Soft Plastics,Cellophane,Microplastics,
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Soft Plastics,Cellophane,Not considered microplastics, 
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Other,Sponge,Not considered microplastics,0
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Other,Twine,Not considered microplastics,0
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Other,Cigarette butts,Not considered microplastics,0
5,Maribyrnong,24/6/2015,Jun,2015,Winter,0,,5.776,,,Other,Other,Not considered microplastics,0
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,17
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,6
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,1
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,0
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Nurdles,Nurdles,Microplastics,0
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Polystyrene,Polystyrene <4mm,Microplastics,5
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,2
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Plastic Straws,Plastic Straws,Not considered microplastics,0
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,18
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,1
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Soft Plastics,Cellophane,Microplastics,
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Soft Plastics,Cellophane,Not considered microplastics,0
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Other,Sponge,Not considered microplastics,0
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Other,Twine,Not considered microplastics,0
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Other,Cigarette butts,Not considered microplastics,0
5,Yarra,24/6/2015,Jun,2015,Winter,0,,2.302,,,Other,Other,Not considered microplastics,2
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,17
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,3
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,0
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,0
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Nurdles,Nurdles,Microplastics,2
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Polystyrene,Polystyrene <4mm,Microplastics,2
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,0
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Plastic Straws,Plastic Straws,Not considered microplastics,4
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,3
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,4
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Soft Plastics,Cellophane,Microplastics,
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Soft Plastics,Cellophane,Not considered microplastics,28
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Other,Sponge,Not considered microplastics,0
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Other,Twine,Not considered microplastics,0
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Other,Cigarette butts,Not considered microplastics,0
6,Maribyrnong,22/7/2015,Jul,2015,Winter,0,,0.128,,,Other,Other,Not considered microplastics,0
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,126
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,36
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,13
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,5
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Nurdles,Nurdles,Microplastics,2
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Polystyrene,Polystyrene <4mm,Microplastics,49
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,12
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Plastic Straws,Plastic Straws,Not considered microplastics,5
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,4
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,3
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Soft Plastics,Cellophane,Microplastics,
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Soft Plastics,Cellophane,Not considered microplastics,1
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Other,Sponge,Not considered microplastics,0
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Other,Twine,Not considered microplastics,4
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Other,Cigarette butts,Not considered microplastics,0
6,Yarra,22/7/2015,Jul,2015,Winter,0.2,,0.657,,,Other,Other,Not considered microplastics,4
7,Maribyrnong,19/8/2015,Aug,2015,Winter,2.8,,8,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,48
7,Maribyrnong,19/8/2015,Aug,2015,Winter,2.8,,8,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,15
